market_name,home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,match,margin
Player Shots on Goal,Buffalo Sabres,New York Rangers,Adam Fox,1.5,1.66,Bet365,2.14,Pinnacle,Buffalo Sabres v New York Rangers,-6.9699358180385085
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Zach Werenski,3.5,2.14,Pinnacle,1.66,Bet365,Columbus Blue Jackets v Chicago Blackhawks,-6.9699358180385085
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Rickard Rakell,2.5,2.14,Pinnacle,1.66,Bet365,Pittsburgh Penguins v Washington Capitals,-6.9699358180385085
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Tomas Hertl,2.5,2.14,Pinnacle,1.66,Bet365,Vegas Golden Knights v Vancouver Canucks,-6.9699358180385085
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Ryan Strome,1.5,1.99,Pinnacle,1.763,Pinnacle,Boston Bruins v Anaheim Ducks,-6.97275372893964
Player Shots on Goal,Buffalo Sabres,New York Rangers,Jack Quinn,1.5,1.74,Bet365,2.02,Pinnacle,Buffalo Sabres v New York Rangers,-6.976214862865593
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Andrei Svechnikov,2.5,2.21,Pinnacle,1.62,Bet365,Toronto Maple Leafs v Carolina Hurricanes,-6.97726384000894
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Matthew Knies,1.5,1.87,Neds,1.869,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-6.980483715447372
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Brandon Saad,1.5,1.87,Neds,1.869,Pinnacle,Vegas Golden Knights v Vancouver Canucks,-6.980483715447372
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Jordan Kyrou,2.5,1.862,Pinnacle,1.877,Pinnacle,St. Louis Blues v Winnipeg Jets,-6.982197864705153
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Nino Niederreiter,1.5,1.862,Pinnacle,1.877,Pinnacle,St. Louis Blues v Winnipeg Jets,-6.982197864705153
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Bryan Rust,2.5,2.31,Pinnacle,1.57,Bet365,Pittsburgh Penguins v Washington Capitals,-6.984310805966842
Player Shots on Goal,New Jersey Devils,Dallas Stars,Mason Marchment,1.5,1.704,Pinnacle,2.07,Pinnacle,New Jersey Devils v Dallas Stars,-6.994624753351042
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Mike Matheson,1.5,1.704,Pinnacle,2.07,Pinnacle,Ottawa Senators v Montreal Canadiens,-6.994624753351042
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Pierre-Luc Dubois,1.5,1.704,Pinnacle,2.07,Pinnacle,Pittsburgh Penguins v Washington Capitals,-6.994624753351042
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Charlie Coyle,1.5,1.847,Pinnacle,1.892,Pinnacle,Boston Bruins v Anaheim Ducks,-6.995974272890959
Player Shots on Goal,Los Angeles Kings,Utah Hockey Club,Clayton Keller,2.5,1.892,Pinnacle,1.847,Pinnacle,Los Angeles Kings v Utah Hockey Club,-6.995974272890959
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Roman Josi,2.5,1.847,Pinnacle,1.892,Pinnacle,Nashville Predators v Colorado Avalanche,-6.995974272890959
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Michael Bunting,1.5,1.684,Pinnacle,2.1,Pinnacle,Pittsburgh Penguins v Washington Capitals,-7.0014704218979595
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Cutter Gauthier,1.5,1.793,Pinnacle,1.952,Pinnacle,Boston Bruins v Anaheim Ducks,-7.001956607206528
Player Shots on Goal,Nashville Predators,Colorado Avalanche,Brady Skjei,1.5,1.793,Pinnacle,1.952,Pinnacle,Nashville Predators v Colorado Avalanche,-7.001956607206528
Player Shots on Goal,New Jersey Devils,Dallas Stars,Timo Meier,2.5,1.952,Pinnacle,1.793,Pinnacle,New Jersey Devils v Dallas Stars,-7.001956607206528
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Tyson Foerster,1.5,1.952,Pinnacle,1.793,Pinnacle,Philadelphia Flyers v Edmonton Oilers,-7.001956607206528
Player Shots on Goal,Toronto Maple Leafs,Carolina Hurricanes,Matthew Knies,1.5,1.869,Pinnacle,1.869,Pinnacle,Toronto Maple Leafs v Carolina Hurricanes,-7.009095773140728
