home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Florida Panthers,New York Islanders,Sam Reinhart,0.5,2.2,Bet365,1.625,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-6.9930069930070005
New York Rangers,Vegas Golden Knights,Tomas Hertl,0.5,2.46,Pinnacle,1.507,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-7.00740716763506
Seattle Kraken,Calgary Flames,Kaapo Kakko,0.5,2.77,Pinnacle,1.41,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.023068848093805
Florida Panthers,New York Islanders,Evan Rodrigues,0.5,3.7,Neds,1.25,Neds,Player Assists,Florida Panthers v New York Islanders,-7.027027027027022
Seattle Kraken,Calgary Flames,Mikael Backlund,0.5,3.7,Sportsbet,1.25,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.027027027027022
Florida Panthers,New York Islanders,Brock Nelson,0.5,2.66,Pinnacle,1.44,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.038429406850444
Vancouver Canucks,Detroit Red Wings,Alex DeBrincat,0.5,2.66,Pinnacle,1.44,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.038429406850444
Florida Panthers,New York Islanders,Gustav Forsling,0.5,3.32,Sportsbet,1.3,Neds,Player Assists,Florida Panthers v New York Islanders,-7.043558850787757
Seattle Kraken,Calgary Flames,Yegor Sharangovich,0.5,3.61,Pinnacle,1.26,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.0659103900100995
Vancouver Canucks,Detroit Red Wings,Dylan Larkin,0.5,2.4,Bet365,1.529,Pinnacle,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.06889034227165
Seattle Kraken,Calgary Flames,Matty Beniers,0.5,2.77,Sportsbet,1.409,Pinnacle,Player Assists,Seattle Kraken v Calgary Flames,-7.073403827380975
Utah Hockey Club,St. Louis Blues,Mikhail Sergachev,0.5,2.16,Sportsbet,1.645,Pinnacle,Player Assists,Utah Hockey Club v St. Louis Blues,-7.086569852527291
Seattle Kraken,Calgary Flames,Jaden Schwartz,0.5,2.56,Sportsbet,1.47,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.089710884353728
Vancouver Canucks,Detroit Red Wings,Patrick Kane,0.5,2.62,Pinnacle,1.45,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.133456172677022
Florida Panthers,New York Islanders,Anders Lee,0.5,3.13,Pinnacle,1.33,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.136851713949399
Seattle Kraken,Calgary Flames,Matt Coronato,0.5,3.13,Pinnacle,1.33,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.136851713949399
New York Rangers,Vegas Golden Knights,Alexis Lafreniere,0.5,3.13,Sportsbet,1.33,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-7.136851713949399
Anaheim Ducks,Montreal Canadiens,Nick Suzuki,0.5,1.961,Pinnacle,1.781,Pinnacle,Player Assists,Anaheim Ducks v Montreal Canadiens,-7.142621947745198
Colorado Avalanche,Philadelphia Flyers,Cale Makar,0.5,1.781,Pinnacle,1.961,Pinnacle,Player Assists,Colorado Avalanche v Philadelphia Flyers,-7.142621947745198
Florida Panthers,New York Islanders,Sam Bennett,0.5,2.8,Neds,1.4,Neds,Player Assists,Florida Panthers v New York Islanders,-7.14285714285714
Florida Panthers,New York Islanders,Tony DeAngelo,0.5,2.8,Neds,1.4,Neds,Player Assists,Florida Panthers v New York Islanders,-7.14285714285714
New York Rangers,Vegas Golden Knights,Reilly Smith,0.5,3.6,Pinnacle,1.26,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-7.14285714285714
Vancouver Canucks,Detroit Red Wings,Moritz Seider,0.5,2.24,Pinnacle,1.6,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.14285714285714
Colorado Avalanche,Philadelphia Flyers,Travis Konecny,0.5,2.2,Pinnacle,1.621,Pinnacle,Player Assists,Colorado Avalanche v Philadelphia Flyers,-7.144860075150028
Dallas Stars,Columbus Blue Jackets,Adam Fantilli,0.5,2.97,Sportsbet,1.361,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-7.14541941580884
Vancouver Canucks,Detroit Red Wings,Filip Chytil,0.5,3.52,Pinnacle,1.27,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.149248389405871
Florida Panthers,New York Islanders,Aaron Ekblad,0.5,2.3,Neds,1.57,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.172528385488786
